suffix,scene_name,train,gt,numOf3DGS,qp_value,qn_value,qfd_value,qfr_value,qo_value,qs_value,qr_value,cl_value,encode_time_mean,decode_time_mean,size_mean,ssim,psnr,lpips,type,rate,network
qp16_qn1_qfd8_qfr8_qo8_qs9_qr9_cl7,drjohnson,train+test,lossless,3405153.0,16.0,1.0,8.0,8.0,8.0,9.0,9.0,7.0,14304.0,4327.0,205344390.0016,0.99776486194495,52.97316025242661,0.0021923980428695,opt,486.32,broadband
qp8_qn1_qfd4_qfr4_qo4_qs4_qr4_cl7,drjohnson,train+test,lossless,3405153.0,8.0,1.0,4.0,4.0,4.0,4.0,4.0,7.0,12484.0,4240.0,76659623.0008,0.7172290899536826,22.870926250110973,0.3918553843642726,opt,193.38,celullar
qp13_qn1_qfd6_qfr6_qo6_qs9_qr9_cl7,drjohnson,train+test,lossless,3405153.0,13.0,1.0,6.0,6.0,6.0,9.0,9.0,7.0,12214.0,4779.0,159057999.0013,0.9921365362225156,44.10150782267253,0.0168187011767065,opt,403.51,wifi
qp10_qn1_qfd10_qfr10_qo10_qs10_qr10_cl7,drjohnson,train+test,lossless,3405153.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,7.0,8091.0,4679.0,221630621.001,0.894990805423621,31.730632781982425,0.1385224597020582,gpcc,486.32,broadband
qp5_qn1_qfd5_qfr5_qo5_qs5_qr5_cl7,drjohnson,train+test,lossless,3405153.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,7.0,7851.0,3795.0,89107931.0005,0.648120874708349,16.039142521944914,0.4927495149048892,gpcc,193.38,celullar
qp8_qn1_qfd8_qfr8_qo8_qs8_qr8_cl7,drjohnson,train+test,lossless,3405153.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,7.0,7796.0,4102.0,168794953.0008,0.7305731881748546,23.472442106767133,0.3307244669307362,gpcc,403.51,wifi
qp18_qn1_qfd11_qfr11_qo11_qs11_qr11_cl7,playroom,train+test,lossless,2546116.0,18.0,1.0,11.0,11.0,11.0,11.0,11.0,7.0,12926.0,4132.0,201751725.0018,0.9994988688107196,61.20706531919282,0.0002269935728941,opt,650.4,broadband
qp11_qn1_qfd5_qfr5_qo5_qs5_qr5_cl7,playroom,train+test,lossless,2546116.0,11.0,1.0,5.0,5.0,5.0,5.0,5.0,7.0,11187.0,4538.0,77224213.0011,0.9563188018469976,34.48132317641686,0.0810028161725093,opt,258.63,celullar
qp17_qn1_qfd8_qfr8_qo8_qs10_qr10_cl7,playroom,train+test,lossless,2546116.0,17.0,1.0,8.0,8.0,8.0,10.0,10.0,7.0,12475.0,4810.0,167714083.0017,0.9981681293454664,54.58694523778455,0.0012620177063769,opt,539.65,wifi
qp12_qn1_qfd12_qfr12_qo12_qs12_qr12_cl7,playroom,train+test,lossless,2546116.0,12.0,1.0,12.0,12.0,12.0,12.0,12.0,7.0,7492.0,3621.0,198096785.0012,0.9936185499717448,46.34699367654735,0.0096791732478244,gpcc,650.4,broadband
