qid_number,bool_ans,llm_ms,aov,model,scene,seq,semantic,acc
1.0,1,268.15,360,LLaVA_7,AU,3,1,0.7083333333333334
1.0,0,263.12,360,LLaVA_7,AU,3,1,0.7083333333333334
1.0,1,325.25,360,LLaVA_7,AU,3,1,0.7083333333333334
1.0,1,248.13,360,LLaVA_7,AU,3,1,0.7083333333333334
1.0,1,267.08,360,LLaVA_7,AU,3,1,0.7083333333333334
1.0,1,248.94,360,LLaVA_7,AU,3,1,0.7083333333333334
1.0,0,297.33,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,297.15,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,244.32,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,0,261.37,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,264.0,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,261.05,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,264.81,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,262.4,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,319.63,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,0,304.65,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,1,299.61,360,LLaVA_7,AU,2,1,0.7083333333333334
1.0,0,301.95,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,1,299.49,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,1,306.74,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,0,343.53,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,1,297.21,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,0,296.43,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,1,303.19,360,LLaVA_7,AU,1,1,0.7083333333333334
1.0,1,320.33,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,290.25,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,249.02,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,306.56,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,304.75,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,264.61,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,267.84,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,301.91,360,LLaVA_7,CUA,3,1,0.8048780487804879
1.0,1,301.03,360,LLaVA_7,CUA,3,1,0.8048780487804879
